📊 Cấu hình: SEQ_LEN = 15, Số Features = 13
----------------------------------------------------------------------------------------------------------------------------------
VÒNG   | MAPE(%)  | MSE      | R2       | RMSE     | GATING (CNN/GRU/KAN) | EPOCH
----------------------------------------------------------------------------------------------------------------------------------
01/100 | 0.08     | 0.01     | 1.000    | 0.09     | 0.46/0.37/0.17 | 46
02/100 | 0.67     | 0.38     | 0.979    | 0.61     | 0.69/0.24/0.06 | 45
03/100 | 1.14     | 1.07     | 0.932    | 1.03     | 0.73/0.20/0.07 | 20
04/100 | 0.57     | 0.24     | 0.980    | 0.49     | 0.63/0.17/0.20 | 91
05/100 | 0.69     | 0.45     | 0.963    | 0.67     | 0.31/0.44/0.25 | 48
06/100 | 1.12     | 0.88     | 0.936    | 0.94     | 0.57/0.30/0.13 | 63
07/100 | 1.39     | 1.47     | 0.903    | 1.21     | 0.50/0.29/0.21 | 44
08/100 | 2.63     | 4.80     | 0.747    | 2.19     | 0.40/0.25/0.35 | 58
09/100 | 4.46     | 17.97    | 0.346    | 4.24     | 0.69/0.24/0.06 | 41
10/100 | 6.66     | 35.71    | -0.168   | 5.98     | 1.00/0.00/0.00 | 43
11/100 | 2.02     | 4.72     | 0.862    | 2.17     | 0.68/0.20/0.12 | 26
12/100 | 1.93     | 3.31     | 0.913    | 1.82     | 0.32/0.45/0.23 | 48
13/100 | 1.47     | 2.53     | 0.910    | 1.59     | 0.76/0.21/0.03 | 44
14/100 | 1.05     | 1.25     | 0.958    | 1.12     | 0.63/0.24/0.12 | 48
15/100 | 3.20     | 9.22     | 0.779    | 3.04     | 0.69/0.26/0.05 | 40
16/100 | 2.22     | 6.28     | 0.830    | 2.51     | 0.80/0.18/0.02 | 41
17/100 | 1.63     | 2.21     | 0.943    | 1.49     | 0.68/0.30/0.02 | 48
18/100 | 2.28     | 6.57     | 0.869    | 2.56     | 0.33/0.41/0.25 | 40
19/100 | 2.50     | 7.88     | 0.842    | 2.81     | 0.48/0.40/0.12 | 39
20/100 | 3.64     | 21.14    | 0.662    | 4.60     | 0.51/0.25/0.24 | 16
21/100 | 2.06     | 5.82     | 0.876    | 2.41     | 0.34/0.31/0.36 | 34
22/100 | 2.15     | 7.80     | 0.844    | 2.79     | 0.51/0.31/0.17 | 19
23/100 | 3.06     | 13.58    | 0.758    | 3.68     | 0.81/0.13/0.06 | 44
24/100 | 0.80     | 0.97     | 0.979    | 0.99     | 0.53/0.39/0.08 | 64
25/100 | 2.18     | 4.79     | 0.881    | 2.19     | 0.68/0.25/0.07 | 45
26/100 | 3.28     | 11.03    | 0.733    | 3.32     | 0.99/0.00/0.01 | 19
27/100 | 1.41     | 3.11     | 0.942    | 1.76     | 0.55/0.39/0.06 | 53
28/100 | 3.71     | 13.05    | 0.853    | 3.61     | 0.78/0.19/0.03 | 45
29/100 | 4.13     | 12.94    | 0.846    | 3.60     | 0.72/0.23/0.05 | 30
30/100 | 2.85     | 5.78     | 0.859    | 2.40     | 0.74/0.23/0.04 | 43
31/100 | 1.88     | 4.09     | 0.848    | 2.02     | 0.87/0.11/0.02 | 55
32/100 | 1.32     | 1.66     | 0.932    | 1.29     | 0.65/0.29/0.06 | 44
33/100 | 3.57     | 9.09     | 0.142    | 3.02     | 0.49/0.38/0.13 | 47
